name,owner,url,stars,age_days,merged_prs,total_releases,days_since_update,primary_language,total_issues,closed_issues,closed_issues_ratio,forks,description
freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,426120,3892,25466,0,0,TypeScript,19826,19633,0.9902653081811762,41242,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free."
build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,412352,2660,138,0,0,Markdown,822,595,0.7238442822384428,38683,Master programming by recreating your favorite technologies from scratch.
awesome,sindresorhus,https://github.com/sindresorhus/awesome,393565,4058,674,0,0,Unknown,353,340,0.9631728045325779,31278,😎 Awesome lists about all kinds of interesting topics
free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,365476,4331,6635,0,0,Python,1181,1150,0.9737510584250635,63922,:books: Freely available programming books
public-apis,public-apis,https://github.com/public-apis/public-apis,362042,3440,1842,0,0,Python,712,704,0.9887640449438202,37997,A collective list of free APIs
developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,334208,3080,3682,1,0,TypeScript,2941,2693,0.9156749404964298,42598,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,324580,3362,411,0,0,Unknown,0,453,0,79895,A complete computer science study plan to become a software engineer.
system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,316679,3097,0,0,0,Python,0,0,0,51872,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
996.ICU,996icu,https://github.com/996icu/996.ICU,274102,2339,0,0,0,Unknown,0,0,0,21070,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
awesome-python,vinta,https://github.com/vinta/awesome-python,255947,4072,0,0,0,Python,0,0,0,26158,"An opinionated list of awesome Python frameworks, libraries, software and resources."
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,242879,3733,0,1,0,Unknown,0,0,0,11253,A list of Free Software network services and web applications which can be hosted on your own servers
