name,owner,url,stars,age_days,merged_prs,total_releases,days_since_update,primary_language,total_issues,closed_issues,closed_issues_ratio,forks,description
freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,426965,3905,25776,0,0,TypeScript,19853,19663,0.9904296579861985,41378,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free."
build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,416568,2673,143,0,5,Markdown,828,596,0.7198067632850241,39027,Master programming by recreating your favorite technologies from scratch.
awesome,sindresorhus,https://github.com/sindresorhus/awesome,396958,4071,679,0,46,Not specified,354,340,0.96045197740113,31436,😎 Awesome lists about all kinds of interesting topics
free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,367134,4344,6823,0,1,Python,1185,1154,0.9738396624472574,64036,:books: Freely available programming books
public-apis,public-apis,https://github.com/public-apis/public-apis,363770,3453,1872,0,105,Python,719,704,0.9791376912378303,38193,A collective list of free APIs
developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,335208,3093,3705,1,0,TypeScript,2947,2694,0.9141499830335935,42675,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,326216,3375,415,0,5,Not specified,516,453,0.877906976744186,80158,A complete computer science study plan to become a software engineer.
system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,318407,3110,200,0,104,Python,341,91,0.2668621700879765,52085,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
996.ICU,996icu,https://github.com/996icu/996.ICU,274237,2352,1071,0,11,Not specified,0,0,0,21058,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
awesome-python,vinta,https://github.com/vinta/awesome-python,257927,4085,544,0,47,Python,0,0,0,26224,"An opinionated list of awesome Python frameworks, libraries, software and resources."
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,244914,3746,2394,1,0,Not specified,806,806,1.0,11331,A list of Free Software network services and web applications which can be hosted on your own servers
project-based-learning,practical-tutorials,https://github.com/practical-tutorials/project-based-learning,242148,3065,182,0,383,Not specified,211,80,0.3791469194312796,31665,Curated list of project-based tutorials
react,facebook,https://github.com/facebook/react,238572,4484,12170,105,0,JavaScript,14024,13217,0.9424557900741586,49244,The library for web and native user interfaces.
vue,vuejs,https://github.com/vuejs/vue,209328,4418,1133,249,327,TypeScript,10028,9673,0.9645991224571201,33746,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core"
Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,206415,3335,3007,0,1,Python,1595,1523,0.954858934169279,47701,All Algorithms implemented in Python
linux,torvalds,https://github.com/torvalds/linux,201234,5112,10,0,0,C,0,0,0,57548,Linux kernel source tree
javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,193168,2719,302,0,202,JavaScript,367,229,0.6239782016348774,30859,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,191444,3587,36271,219,0,C++,40765,39870,0.9780448914509996,74806,An Open Source Machine Learning Framework for Everyone
computer-science,ossu,https://github.com/ossu/computer-science,191393,4139,299,0,10,HTML,652,638,0.9785276073619632,23900,🎓 Path to a free self-taught education in Computer Science!
the-book-of-secret-knowledge,trimstray,https://github.com/trimstray/the-book-of-secret-knowledge,184594,2628,122,0,287,Not specified,0,0,0,11449,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
You-Dont-Know-JS,getify,https://github.com/getify/You-Dont-Know-JS,183140,4308,368,0,105,Not specified,944,863,0.9141949152542372,33655,A book series (2 published editions) on the JS language.
CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,181787,2758,374,0,377,Not specified,571,448,0.7845884413309983,51187,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,181123,5849,3385,0,1,Shell,4964,4827,0.9724012892828364,26185,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community."
AutoGPT,Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT,178222,901,3246,69,0,Python,3416,3258,0.9537470725995316,45960,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
vscode,microsoft,https://github.com/microsoft/vscode,176337,3652,36568,177,0,TypeScript,207045,194479,0.939307879929484,34743,Visual Studio Code
bootstrap,twbs,https://github.com/twbs/bootstrap,173325,5149,8999,94,0,MDX,22760,22351,0.9820298769771529,79153,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
