consulta,tipo_api,metrica,min,q1,mediana,q3,max,media,desvio
Consulta 1 - Simples,REST,Tempo (ms),481.3566207885742,514.5208239555359,527.2661447525024,558.1463575363159,798.997163772583,546.4161237080892,62.62678804255773
Consulta 1 - Simples,REST,Tamanho (bytes),5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,0.0
Consulta 1 - Simples,GraphQL,Tempo (ms),432.21068382263184,478.19072008132935,499.11248683929443,529.9434661865234,587.3768329620361,506.222939491272,38.19043922748642
Consulta 1 - Simples,GraphQL,Tamanho (bytes),193.0,193.0,193.0,193.0,193.0,193.0,0.0
Consulta 2 - Média,REST,Tempo (ms),1177.50883102417,1260.3179216384888,1328.2181024551392,1383.6804032325745,1538.2497310638428,1326.3720830281575,88.22160990948868
Consulta 2 - Média,REST,Tamanho (bytes),42084.0,42084.0,42084.0,42084.0,42084.0,42084.0,0.0
Consulta 2 - Média,GraphQL,Tempo (ms),538.9997959136963,555.2505254745483,589.687705039978,621.4572787284851,1063.0342960357666,609.5360199610392,98.27244678916148
Consulta 2 - Média,GraphQL,Tamanho (bytes),1444.0,1444.0,1444.0,1444.0,1444.0,1444.0,0.0
Consulta 3 - Complexa,REST,Tempo (ms),2724.958658218384,2903.6876559257507,3089.2438888549805,3178.720951080322,4324.247598648071,3115.197968482971,317.16953549318026
Consulta 3 - Complexa,REST,Tamanho (bytes),138736.0,139701.0,139701.0,139701.0,139701.0,139475.83333333334,408.1492442177929
Consulta 3 - Complexa,GraphQL,Tempo (ms),859.3952655792236,953.65309715271,1038.8206243515015,1090.9291505813599,1194.261074066162,1022.7709452311198,91.49889588481759
Consulta 3 - Complexa,GraphQL,Tamanho (bytes),1003.0,1003.0,1003.0,1003.0,1003.0,1003.0,0.0
Consulta 4 - Lista,REST,Tempo (ms),666.3143634796143,736.2650036811829,772.1439599990845,831.4789533615112,1968.287229537964,820.1318343480428,222.3658877765576
Consulta 4 - Lista,REST,Tamanho (bytes),53183.0,53183.0,53183.0,53183.0,53183.0,53183.0,0.0
Consulta 4 - Lista,GraphQL,Tempo (ms),536.186933517456,614.3519878387451,644.7473764419556,692.5742626190186,881.9308280944824,657.4841022491455,71.28034978399813
Consulta 4 - Lista,GraphQL,Tamanho (bytes),971.0,971.0,971.0,971.0,971.0,971.0,0.0
Consulta 5 - Aninhada,REST,Tempo (ms),1075.519323348999,1099.1123318672178,1127.846598625183,1158.1935286521912,1364.6018505096436,1139.4076824188232,58.87407726070151
Consulta 5 - Aninhada,REST,Tamanho (bytes),31290.0,31290.0,31290.0,31290.0,31290.0,31290.0,0.0
Consulta 5 - Aninhada,GraphQL,Tempo (ms),515.0003433227539,543.5563921928406,561.6174936294556,582.1029543876648,916.2895679473876,581.8132559458414,79.51203783432005
Consulta 5 - Aninhada,GraphQL,Tamanho (bytes),2576.0,2576.0,2576.0,2576.0,2576.0,2576.0,0.0
