consulta,tipo_api,tempo_ms,tamanho_bytes,timestamp,numero_consulta,complexidade,num_endpoints,data,hora,minuto,periodo_dia,ordem_execucao
Consulta 1 - Simples,GraphQL,576.72,193,2025-11-26 14:10:20.404837,1,Simples,1,2025-11-26,14,10,Tarde,1
Consulta 1 - Simples,GraphQL,432.21,193,2025-11-26 14:10:21.838576,1,Simples,1,2025-11-26,14,10,Tarde,2
Consulta 1 - Simples,GraphQL,479.74,193,2025-11-26 14:10:23.320422,1,Simples,1,2025-11-26,14,10,Tarde,3
Consulta 1 - Simples,REST,701.97,5016,2025-11-26 14:10:25.025096,1,Simples,1,2025-11-26,14,10,Tarde,4
Consulta 1 - Simples,REST,515.98,5016,2025-11-26 14:10:26.542424,1,Simples,1,2025-11-26,14,10,Tarde,5
Consulta 1 - Simples,GraphQL,471.29,193,2025-11-26 14:10:28.015273,1,Simples,1,2025-11-26,14,10,Tarde,6
Consulta 1 - Simples,GraphQL,473.72,193,2025-11-26 14:10:29.491604,1,Simples,1,2025-11-26,14,10,Tarde,7
Consulta 1 - Simples,REST,496.92,5016,2025-11-26 14:10:30.990908,1,Simples,1,2025-11-26,14,10,Tarde,8
Consulta 1 - Simples,REST,481.36,5016,2025-11-26 14:10:32.473988,1,Simples,1,2025-11-26,14,10,Tarde,9
Consulta 1 - Simples,REST,490.45,5016,2025-11-26 14:10:33.966205,1,Simples,1,2025-11-26,14,10,Tarde,10
Consulta 1 - Simples,REST,527.53,5016,2025-11-26 14:10:35.495163,1,Simples,1,2025-11-26,14,10,Tarde,11
Consulta 1 - Simples,GraphQL,523.0,193,2025-11-26 14:10:37.020303,1,Simples,1,2025-11-26,14,10,Tarde,12
Consulta 1 - Simples,GraphQL,475.79,193,2025-11-26 14:10:38.497857,1,Simples,1,2025-11-26,14,10,Tarde,13
Consulta 1 - Simples,GraphQL,477.67,193,2025-11-26 14:10:39.978827,1,Simples,1,2025-11-26,14,10,Tarde,14
Consulta 1 - Simples,REST,514.03,5016,2025-11-26 14:10:41.494013,1,Simples,1,2025-11-26,14,10,Tarde,15
Consulta 1 - Simples,GraphQL,532.66,193,2025-11-26 14:10:43.028665,1,Simples,1,2025-11-26,14,10,Tarde,16
Consulta 1 - Simples,REST,509.63,5016,2025-11-26 14:10:44.539242,1,Simples,1,2025-11-26,14,10,Tarde,17
Consulta 1 - Simples,REST,799.0,5016,2025-11-26 14:10:46.341453,1,Simples,1,2025-11-26,14,10,Tarde,18
Consulta 1 - Simples,REST,540.0,5016,2025-11-26 14:10:47.883244,1,Simples,1,2025-11-26,14,10,Tarde,19
Consulta 1 - Simples,REST,503.0,5016,2025-11-26 14:10:49.389242,1,Simples,1,2025-11-26,14,10,Tarde,20
Consulta 1 - Simples,REST,560.0,5016,2025-11-26 14:10:50.951242,1,Simples,1,2025-11-26,14,10,Tarde,21
Consulta 1 - Simples,GraphQL,506.01,193,2025-11-26 14:10:52.458399,1,Simples,1,2025-11-26,14,10,Tarde,22
Consulta 1 - Simples,GraphQL,500.23,193,2025-11-26 14:10:53.962258,1,Simples,1,2025-11-26,14,10,Tarde,23
Consulta 1 - Simples,REST,552.58,5016,2025-11-26 14:10:55.517462,1,Simples,1,2025-11-26,14,10,Tarde,24
Consulta 1 - Simples,GraphQL,530.51,193,2025-11-26 14:10:57.050601,1,Simples,1,2025-11-26,14,10,Tarde,25
Consulta 1 - Simples,REST,532.0,5016,2025-11-26 14:10:58.584774,1,Simples,1,2025-11-26,14,10,Tarde,26
Consulta 1 - Simples,GraphQL,490.4,193,2025-11-26 14:11:00.077183,1,Simples,1,2025-11-26,14,11,Tarde,27
Consulta 1 - Simples,REST,527.0,5016,2025-11-26 14:11:01.606895,1,Simples,1,2025-11-26,14,11,Tarde,28
Consulta 1 - Simples,REST,580.01,5016,2025-11-26 14:11:03.189533,1,Simples,1,2025-11-26,14,11,Tarde,29
Consulta 1 - Simples,GraphQL,521.08,193,2025-11-26 14:11:04.712156,1,Simples,1,2025-11-26,14,11,Tarde,30
Consulta 1 - Simples,GraphQL,546.01,193,2025-11-26 14:11:06.260169,1,Simples,1,2025-11-26,14,11,Tarde,31
Consulta 1 - Simples,REST,516.0,5016,2025-11-26 14:11:07.778608,1,Simples,1,2025-11-26,14,11,Tarde,32
Consulta 1 - Simples,REST,513.0,5016,2025-11-26 14:11:09.294586,1,Simples,1,2025-11-26,14,11,Tarde,33
Consulta 1 - Simples,GraphQL,491.7,193,2025-11-26 14:11:10.788286,1,Simples,1,2025-11-26,14,11,Tarde,34
Consulta 1 - Simples,REST,573.0,5016,2025-11-26 14:11:12.363772,1,Simples,1,2025-11-26,14,11,Tarde,35
Consulta 1 - Simples,GraphQL,498.0,193,2025-11-26 14:11:13.863296,1,Simples,1,2025-11-26,14,11,Tarde,36
Consulta 1 - Simples,GraphQL,528.26,193,2025-11-26 14:11:15.393716,1,Simples,1,2025-11-26,14,11,Tarde,37
Consulta 1 - Simples,REST,518.24,5016,2025-11-26 14:11:16.914551,1,Simples,1,2025-11-26,14,11,Tarde,38
