consulta,tipo_api,tempo_ms,tamanho_bytes,timestamp
Consulta 1 - Simples,GraphQL,576.72,193,2025-11-26T14:10:20.404837
Consulta 1 - Simples,GraphQL,432.21,193,2025-11-26T14:10:21.838576
Consulta 1 - Simples,GraphQL,479.74,193,2025-11-26T14:10:23.320422
Consulta 1 - Simples,REST,701.97,5016,2025-11-26T14:10:25.025096
Consulta 1 - Simples,REST,515.98,5016,2025-11-26T14:10:26.542424
Consulta 1 - Simples,GraphQL,471.29,193,2025-11-26T14:10:28.015273
Consulta 1 - Simples,GraphQL,473.72,193,2025-11-26T14:10:29.491604
Consulta 1 - Simples,REST,496.92,5016,2025-11-26T14:10:30.990908
Consulta 1 - Simples,REST,481.36,5016,2025-11-26T14:10:32.473988
Consulta 1 - Simples,REST,490.45,5016,2025-11-26T14:10:33.966205
Consulta 1 - Simples,REST,527.53,5016,2025-11-26T14:10:35.495163
Consulta 1 - Simples,GraphQL,523.0,193,2025-11-26T14:10:37.020303
Consulta 1 - Simples,GraphQL,475.79,193,2025-11-26T14:10:38.497857
Consulta 1 - Simples,GraphQL,477.67,193,2025-11-26T14:10:39.978827
Consulta 1 - Simples,REST,514.03,5016,2025-11-26T14:10:41.494013
Consulta 1 - Simples,GraphQL,532.66,193,2025-11-26T14:10:43.028665
Consulta 1 - Simples,REST,509.63,5016,2025-11-26T14:10:44.539242
Consulta 1 - Simples,REST,799.0,5016,2025-11-26T14:10:46.341453
Consulta 1 - Simples,REST,540.0,5016,2025-11-26T14:10:47.883244
Consulta 1 - Simples,REST,503.0,5016,2025-11-26T14:10:49.389242
Consulta 1 - Simples,REST,560.0,5016,2025-11-26T14:10:50.951242
Consulta 1 - Simples,GraphQL,506.01,193,2025-11-26T14:10:52.458399
Consulta 1 - Simples,GraphQL,500.23,193,2025-11-26T14:10:53.962258
Consulta 1 - Simples,REST,552.58,5016,2025-11-26T14:10:55.517462
Consulta 1 - Simples,GraphQL,530.51,193,2025-11-26T14:10:57.050601
Consulta 1 - Simples,REST,532.0,5016,2025-11-26T14:10:58.584774
Consulta 1 - Simples,GraphQL,490.4,193,2025-11-26T14:11:00.077183
